Detector, Descriptor, Image id, No keypoints, No keypoints on preceding vehicle, No matched keypoints, Keypoint detection time (ms), Descriptor extraction time (ms), Matching time (ms)
BRISK,FREAK,3,2735,275,154,51.2012,49.1116,0.4961
BRISK,FREAK,4,2757,293,168,58.7524,49.865,0.5534
BRISK,FREAK,5,2695,275,157,48.9891,43.2522,0.4301
BRISK,FREAK,6,2715,289,181,48.1334,42.1908,0.428
BRISK,FREAK,7,2628,268,169,44.9152,42.08,0.4278
BRISK,FREAK,8,2639,260,176,43.1492,40.3383,0.3754
BRISK,FREAK,9,2672,250,165,45.2333,41.4474,0.389
BRISK,SIFT,0,2757,254,0,45.5389,42.2077,0
BRISK,SIFT,1,2777,274,177,47.7333,32.1191,1.0123
BRISK,SIFT,2,2741,276,187,45.4384,25.6695,0.651
BRISK,SIFT,3,2735,275,171,46.32,29.3771,0.6842
BRISK,SIFT,4,2757,293,177,45.8309,26.8505,0.7012
BRISK,SIFT,5,2695,275,168,45.5206,29.3131,0.789
BRISK,SIFT,6,2715,289,190,43.7765,29.7307,0.7446
BRISK,SIFT,7,2628,268,193,41.4463,27.121,0.5908
BRISK,SIFT,8,2639,260,173,41.9275,24.4706,0.7568
BRISK,SIFT,9,2672,250,181,41.8644,24.268,0.5981
ORB,BRISK,0,500,91,0,11.8434,1.4755,0
ORB,BRISK,1,500,102,73,11.5835,1.8478,0.1607
ORB,BRISK,2,500,106,74,10.6628,1.3526,0.1559
ORB,BRISK,3,500,113,79,8.8359,1.3719,0.1563
ORB,BRISK,4,500,109,85,8.3283,1.2989,0.1485
ORB,BRISK,5,500,124,79,8.1766,1.6721,0.2022
ORB,BRISK,6,500,129,90,10.5531,1.801,0.1974
ORB,BRISK,7,500,127,88,9.5545,1.6004,0.1911
ORB,BRISK,8,500,124,86,8.808,1.509,0.1727
ORB,BRISK,9,500,125,90,8.657,1.4639,0.1675
ORB,BRIEF,0,500,91,0,8.2022,0.4033,0
ORB,BRIEF,1,500,102,49,8.9089,0.4429,0.1344
ORB,BRIEF,2,500,106,43,8.6541,0.5112,0.1459
ORB,BRIEF,3,500,113,45,8.3012,0.4831,0.1505
ORB,BRIEF,4,500,109,59,8.7866,0.5358,0.1526
ORB,BRIEF,5,500,124,53,9.5457,0.5662,0.366
ORB,BRIEF,6,500,129,76,8.8775,0.5583,0.179
ORB,BRIEF,7,500,127,67,9.1576,0.6048,0.215
ORB,BRIEF,8,500,124,83,9.7385,0.6078,0.182
ORB,BRIEF,9,500,125,65,12.9575,0.5857,0.1801
ORB,ORB,0,500,91,0,9.584,16.6613,0
ORB,ORB,1,500,102,65,10.4348,16.2441,0.1445
ORB,ORB,2,500,106,69,9.476,16.7019,0.1814
ORB,ORB,3,500,113,71,10.5548,17.5845,0.1729
ORB,ORB,4,500,109,85,9.8101,17.2594,0.2186
